Numero de entrada en el vocabulario,palabra,Positiva,Negativa,Frecuencia_Total
259,ush,1.0,0.0,1.0
260,checks,1.0,0.0,1.0
261,faras,1.0,0.0,1.0
262,eye,1.0,0.0,1.0
263,gerbil,1.0,0.0,1.0
264,sii,8.0,3.0,11.0
265,sandisks,18.0,9.0,27.0
266,markand,1.0,0.0,1.0
267,ashtray,0.0,1.0,1.0
268,palm,3.0,0.0,3.0
269,job,79.0,4.0,83.0
270,hmc,1.0,0.0,1.0
271,menu,5.0,0.0,5.0
272,rollingi,1.0,0.0,1.0
273,exciting,1.0,0.0,1.0
274,strength,0.0,1.0,1.0
275,arguing,1.0,0.0,1.0
276,muchneeded,1.0,0.0,1.0
277,stuffaddenda,1.0,0.0,1.0
278,ignored,0.0,1.0,1.0
279,img,1.0,0.0,1.0
280,averages,1.0,0.0,1.0
281,painfuli,0.0,1.0,1.0
282,treated,1.0,0.0,1.0
283,farproscheap,1.0,0.0,1.0
284,videogame,1.0,0.0,1.0
285,wayyy,0.0,1.0,1.0
286,permanentlyproreliablefastgood,1.0,0.0,1.0
287,albums,7.0,1.0,8.0
288,bingo,1.0,0.0,1.0
289,filledturned,1.0,0.0,1.0
290,mbyteshtestw,1.0,1.0,2.0
291,onlyit,1.0,0.0,1.0
292,cardpro,1.0,0.0,1.0
293,trillions,1.0,0.0,1.0
294,virgin,5.0,0.0,5.0
295,defective,16.0,24.0,40.0
296,versionhappy,1.0,0.0,1.0
297,batch,4.0,15.0,19.0
298,causing,6.0,5.0,11.0
299,copycopies,1.0,0.0,1.0
300,respond,2.0,2.0,4.0
301,sneeze,1.0,0.0,1.0
302,daysadapters,1.0,0.0,1.0
303,installingusing,0.0,1.0,1.0
304,loadedcompatible,1.0,0.0,1.0
305,sustain,1.0,0.0,1.0
306,aplomb,1.0,0.0,1.0
307,outta,1.0,0.0,1.0
308,involve,0.0,1.0,1.0
309,parents,1.0,0.0,1.0
310,g,71.0,14.0,85.0
311,reinserting,1.0,0.0,1.0
312,isi,1.0,0.0,1.0
313,restaring,1.0,0.0,1.0
314,email,6.0,6.0,12.0
315,micro,419.0,42.0,461.0
316,mega,1.0,0.0,1.0
317,entire,31.0,2.0,33.0
318,shocker,0.0,1.0,1.0
319,require,13.0,0.0,13.0
320,cardthe,5.0,2.0,7.0
321,purchaseordered,1.0,0.0,1.0
322,fried,5.0,2.0,7.0
323,external,50.0,3.0,53.0
324,lags,7.0,0.0,7.0
325,mbswith,1.0,0.0,1.0
326,enabledsandisks,0.0,1.0,1.0
327,yrs,2.0,0.0,2.0
328,mentioned,11.0,3.0,14.0
329,pleasure,1.0,0.0,1.0
330,whet,1.0,0.0,1.0
331,pita,0.0,1.0,1.0
332,busted,1.0,0.0,1.0
333,permitted,1.0,0.0,1.0
334,eject,3.0,3.0,6.0
335,improving,1.0,1.0,2.0
336,anniversary,1.0,0.0,1.0
337,phonedaniel,0.0,1.0,1.0
338,apr,0.0,1.0,1.0
339,fari,2.0,0.0,2.0
340,studders,0.0,1.0,1.0
341,finei,2.0,2.0,4.0
342,surface,115.0,3.0,118.0
343,throws,0.0,2.0,2.0
344,appsi,1.0,0.0,1.0
345,reallife,0.0,1.0,1.0
346,old,116.0,21.0,137.0
347,manner,5.0,0.0,5.0
348,kies,2.0,0.0,2.0
349,doesi,1.0,0.0,1.0
350,buyjerry,1.0,0.0,1.0
351,ipads,2.0,0.0,2.0
352,pricesandisk,1.0,0.0,1.0
353,front,7.0,0.0,7.0
354,twoinone,1.0,0.0,1.0
355,results,16.0,7.0,23.0
356,unusablethe,0.0,1.0,1.0
357,admit,3.0,0.0,3.0
358,stashed,1.0,0.0,1.0
359,stick,27.0,7.0,34.0
360,bring,6.0,2.0,8.0
361,bump,2.0,1.0,3.0
362,plu,1.0,0.0,1.0
363,sonsidering,1.0,0.0,1.0
364,ifer,0.0,1.0,1.0
365,usbthumbdrivedongle,1.0,0.0,1.0
366,too,0.0,1.0,1.0
367,season,2.0,0.0,2.0
368,mad,2.0,0.0,2.0
369,venue,30.0,1.0,31.0
370,rubbish,1.0,0.0,1.0
371,offline,1.0,0.0,1.0
372,hydei,1.0,0.0,1.0
373,apparently,15.0,4.0,19.0
374,my,5.0,2.0,7.0
375,doi,1.0,0.0,1.0
376,primarily,10.0,2.0,12.0
377,goodon,1.0,0.0,1.0
378,bust,1.0,1.0,2.0
379,winner,1.0,1.0,2.0
380,musicplays,1.0,0.0,1.0
381,biased,1.0,0.0,1.0
382,help,7.0,10.0,17.0
383,drama,1.0,0.0,1.0
384,totaled,2.0,0.0,2.0
385,or,1.0,0.0,1.0
386,adapater,0.0,1.0,1.0
387,supplies,2.0,0.0,2.0
388,heavier,1.0,0.0,1.0
389,sheer,1.0,1.0,2.0
390,futher,1.0,0.0,1.0
391,dog,1.0,1.0,2.0
392,betteri,0.0,1.0,1.0
393,updo,1.0,0.0,1.0
394,potential,3.0,3.0,6.0
395,smartphone,93.0,8.0,101.0
396,multishot,1.0,0.0,1.0
397,useevery,0.0,1.0,1.0
398,onlynow,1.0,0.0,1.0
399,months,141.0,102.0,243.0
400,filling,14.0,1.0,15.0
401,writeusb,1.0,0.0,1.0
402,readable,3.0,4.0,7.0
403,itits,1.0,0.0,1.0
404,complaint,9.0,1.0,10.0
405,driveway,1.0,0.0,1.0
406,suspect,2.0,2.0,4.0
407,desperately,1.0,0.0,1.0
408,gniis,1.0,0.0,1.0
409,updatei,2.0,0.0,2.0
410,speedsthroughputnot,0.0,1.0,1.0
411,errorsupdateafter,0.0,1.0,1.0
412,settingswill,1.0,0.0,1.0
413,nokia,23.0,4.0,27.0
414,spaceits,1.0,0.0,1.0
415,halo,1.0,0.0,1.0
416,gesture,0.0,1.0,1.0
417,pleasedpros,1.0,0.0,1.0
418,artiaga,1.0,0.0,1.0
419,pen,1.0,0.0,1.0
420,itd,2.0,0.0,2.0
421,reasons,6.0,3.0,9.0
422,olders,0.0,1.0,1.0
423,pics,53.0,10.0,63.0
424,heck,2.0,2.0,4.0
425,shippedoverall,1.0,0.0,1.0
426,april,2.0,5.0,7.0
427,powershot,2.0,0.0,2.0
428,recall,2.0,1.0,3.0
429,streamer,2.0,0.0,2.0
430,perfects,1.0,0.0,1.0
431,losehave,1.0,0.0,1.0
432,goodupdate,0.0,1.0,1.0
433,crooked,1.0,0.0,1.0
434,diet,1.0,0.0,1.0
435,answer,7.0,2.0,9.0
436,nature,1.0,2.0,3.0
437,overcharging,1.0,0.0,1.0
438,consolidate,1.0,0.0,1.0
439,musicanyway,1.0,0.0,1.0
440,mobileversion,2.0,0.0,2.0
441,cache,1.0,0.0,1.0
442,verified,1.0,4.0,5.0
443,spear,1.0,0.0,1.0
444,inexpensively,1.0,0.0,1.0
445,timesi,0.0,1.0,1.0
446,functionality,5.0,0.0,5.0
447,seagate,0.0,1.0,1.0
448,moving,21.0,5.0,26.0
449,datanever,1.0,1.0,2.0
450,comprei,1.0,0.0,1.0
451,shove,1.0,0.0,1.0
452,marketing,4.0,2.0,6.0
453,intel,1.0,1.0,2.0
454,foremost,1.0,0.0,1.0
455,knowledgeable,3.0,0.0,3.0
456,tooin,1.0,0.0,1.0
457,bougth,1.0,1.0,2.0
458,usei,1.0,0.0,1.0
459,existing,7.0,0.0,7.0
460,syslog,0.0,1.0,1.0
461,fiiox,1.0,0.0,1.0
462,lifetime,14.0,5.0,19.0
463,responsiveness,1.0,0.0,1.0
464,updatethis,0.0,1.0,1.0
465,startup,1.0,0.0,1.0
466,fori,1.0,0.0,1.0
467,certified,3.0,0.0,3.0
